state,abbreviation,area_km_sq
Alabama,AL,135767
Alaska,AK,1723337
Arizona,AZ,295234
Arkansas,AR,137732
California,CA,423967
Colorado,CO,269601
Connecticut,CT,14357
Delaware,DE,6446
Florida,FL,170312
Georgia,GA,153910
Hawaii,HI,28313
Idaho,ID,216443
Illinois,IL,149995
Indiana,IN,94326
Iowa,IA,145746
Kansas,KS,213100
Kentucky,KY,104656
Louisiana,LA,135659
Maine,ME,91633
Maryland,MD,32131
Massachusetts,MA,27336
Michigan,MI,250487
Minnesota,MN,225163
Mississippi,MS,125438
Missouri,MO,180540
Montana,MT,380831
Nebraska,NE,200330
Nevada,NV,286380
New Hampshire,NH,24214
New Jersey,NJ,22591
New Mexico,NM,314917
New York,NY,141297
North Carolina,NC,139391
North Dakota,ND,183108
Ohio,OH,116098
Oklahoma,OK,181037
Oregon,OR,254799
Pennsylvania,PA,119280
Rhode Island,RI,4001
South Carolina,SC,82933
South Dakota,SD,199729
Tennessee,TN,109153
Texas,TX,695662
Utah,UT,219882
Vermont,VT,24906
Virginia,VA,110787
Washington,WA,184661
West Virginia,WV,62756
Wisconsin,WI,169635
Wyoming,WY,253335
